,IncomeGroup,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)",GDP
0,High income,2003.5,30.54657580814261,2.401158531289417,26.541985264796157,1.9576067062478957,29110.00534900853
1,Upper middle income,2003.5,39.08039473979373,13.377879119042936,24.790306609739474,1.163427030916611,5180.352208808769
